id,url,index,confidence,xmin,ymin,xmax,ymax,w,h,ponies
1007197.png,https://derpicdn.net/img/view/2015/10/21/1007197.png,0,0.989433885,0,38,1024,1376,1024,1338,applejack
1007197.png,https://derpicdn.net/img/view/2015/10/21/1007197.png,0,0.989433885,0,98,1024,1316,1024,1218,applejack
1007197.png,https://derpicdn.net/img/view/2015/10/21/1007197.png,0,0.989433885,0,98,1024,1316,1024,1218,applejack
1007720.png,https://derpicdn.net/img/view/2015/10/22/1007720.png,0,0.961497605,0,123,1193,1685,1193,1562,applejack
1007720.png,https://derpicdn.net/img/view/2015/10/22/1007720.png,0,0.961497605,0,192,1193,1612,1193,1420,applejack
1007720.png,https://derpicdn.net/img/view/2015/10/22/1007720.png,0,0.961497605,0,192,1193,1612,1193,1420,applejack
1007731.png,https://derpicdn.net/img/view/2015/10/22/1007731.png,0,0.99815309,69,0,717,626,648,626,applejack
1007731.png,https://derpicdn.net/img/view/2015/10/22/1007731.png,0,0.99815309,100,9,686,595,586,586,applejack
1007731.png,https://derpicdn.net/img/view/2015/10/22/1007731.png,0,0.99815309,100,9,686,595,586,586,applejack
1010293.png,https://derpicdn.net/img/view/2015/10/26/1010293.png,0,0.954587579,101,0,553,442,452,442,applejack
1010293.png,https://derpicdn.net/img/view/2015/10/26/1010293.png,0,0.954587579,121,11,531,421,410,410,applejack
1010293.png,https://derpicdn.net/img/view/2015/10/26/1010293.png,0,0.954587579,121,11,531,421,410,410,applejack
1013920.jpg,https://derpicdn.net/img/view/2015/11/1/1013920.jpg,0,0.966442049,398,193,824,619,426,426,applejack
1013920.jpg,https://derpicdn.net/img/view/2015/11/1/1013920.jpg,0,0.966442049,418,213,804,599,386,386,applejack
1013920.jpg,https://derpicdn.net/img/view/2015/11/1/1013920.jpg,0,0.966442049,418,213,804,599,386,386,applejack
1015104.png,https://derpicdn.net/img/view/2015/11/2/1015104.png,0,0.995498598,224,17,528,321,304,304,applejack
1015104.png,https://derpicdn.net/img/view/2015/11/2/1015104.png,0,0.995498598,238,31,514,307,276,276,applejack
1015104.png,https://derpicdn.net/img/view/2015/11/2/1015104.png,0,0.995498598,238,31,514,307,276,276,applejack
1016813.png,https://derpicdn.net/img/view/2015/11/5/1016813.png,0,0.991234601,0,0,1133,1203,1133,1203,applejack
1016813.png,https://derpicdn.net/img/view/2015/11/5/1016813.png,0,0.991234601,28,0,1133,1145,1105,1145,applejack
1016813.png,https://derpicdn.net/img/view/2015/11/5/1016813.png,0,0.991234601,28,0,1133,1145,1105,1145,applejack
1020938.png,https://derpicdn.net/img/view/2015/11/11/1020938.png,0,0.998850942,469,106,1171,808,702,702,applejack
1020938.png,https://derpicdn.net/img/view/2015/11/11/1020938.png,0,0.998850942,499,137,1139,777,640,640,applejack
1020938.png,https://derpicdn.net/img/view/2015/11/11/1020938.png,0,0.998850942,499,137,1139,777,640,640,applejack
102097.jpg,https://derpicdn.net/img/view/2012/9/19/102097.jpg,0,0.998066366,104,0,514,375,410,375,applejack
102097.jpg,https://derpicdn.net/img/view/2012/9/19/102097.jpg,0,0.998066366,123,0,495,356,372,356,applejack
102097.jpg,https://derpicdn.net/img/view/2012/9/19/102097.jpg,0,0.998066366,123,0,495,356,372,356,applejack
1024394.png,https://derpicdn.net/img/view/2015/11/17/1024394.png,0,0.996784806,96,0,962,827,866,827,applejack
1024394.png,https://derpicdn.net/img/view/2015/11/17/1024394.png,0,0.996784806,135,0,923,788,788,788,applejack
1024394.png,https://derpicdn.net/img/view/2015/11/17/1024394.png,0,0.996784806,135,0,923,788,788,788,applejack
1025457.png,https://derpicdn.net/img/view/2015/11/18/1025457.png,0,0.999785721,313,22,1091,800,778,778,applejack
1025457.png,https://derpicdn.net/img/view/2015/11/18/1025457.png,0,0.999785721,349,59,1055,765,706,706,applejack
1025457.png,https://derpicdn.net/img/view/2015/11/18/1025457.png,0,0.999785721,349,59,1055,765,706,706,applejack
1027153.png,https://derpicdn.net/img/view/2015/11/21/1027153.png,0,0.960928023,2,15,662,675,660,660,applejack
1027153.png,https://derpicdn.net/img/view/2015/11/21/1027153.png,0,0.960928023,32,46,630,644,598,598,applejack
1027153.png,https://derpicdn.net/img/view/2015/11/21/1027153.png,0,0.960928023,32,46,630,644,598,598,applejack
1027635.png,https://derpicdn.net/img/view/2015/11/22/1027635.png,0,0.995897055,446,0,1098,528,652,528,applejack
1027635.png,https://derpicdn.net/img/view/2015/11/22/1027635.png,0,0.995897055,477,0,1067,497,590,497,applejack
1027635.png,https://derpicdn.net/img/view/2015/11/22/1027635.png,0,0.995897055,477,0,1067,497,590,497,applejack
1039914.png,https://derpicdn.net/img/view/2015/12/8/1039914.png,0,0.993067741,96,0,386,289,290,289,applejack
1043727.png,https://derpicdn.net/img/view/2015/12/13/1043727.png,0,0.921105444,322,16,786,480,464,464,applejack
1043918.png,https://derpicdn.net/img/view/2015/12/13/1043918.png,0,0.970266104,334,0,1202,818,868,818,applejack
1047802.png,https://derpicdn.net/img/view/2015/12/19/1047802.png,0,0.996038556,252,0,960,689,708,689,applejack
1048986.png,https://derpicdn.net/img/view/2015/12/20/1048986.png,0,0.9936077,796,791,1836,1831,1040,1040,applejack
106261.jpg,https://derpicdn.net/img/view/2012/9/25/106261.jpg,0,0.9433164,0,0,722,799,722,799,applejack
1063149.png,https://derpicdn.net/img/view/2016/1/10/1063149.png,0,0.979792774,98,63,500,487,402,424,applejack
1066936.png,https://derpicdn.net/img/view/2016/1/15/1066936.png,0,0.993844867,447,81,915,549,468,468,applejack
1076983.png,https://derpicdn.net/img/view/2016/1/31/1076983.png,0,0.960846364,0,31,1077,1167,1077,1136,applejack
1081770.png,https://derpicdn.net/img/view/2016/2/6/1081770.png,0,0.993924677,210,0,664,453,454,453,applejack
1082320.png,https://derpicdn.net/img/view/2016/2/7/1082320.png,0,0.993601084,239,77,639,477,400,400,applejack
1084235.png,https://derpicdn.net/img/view/2016/2/9/1084235.png,0,0.992938757,0,0,2017,1815,2017,1815,applejack
1088032.png,https://derpicdn.net/img/view/2016/2/14/1088032.png,0,0.972035706,570,169,1400,999,830,830,applejack
1100843.png,https://derpicdn.net/img/view/2016/3/2/1100843.png,0,0.970798612,0,0,1127,1385,1127,1385,applejack
1102772.jpg,https://derpicdn.net/img/view/2016/3/6/1102772.jpg,0,0.994873762,455,0,923,464,468,464,applejack
1103045.png,https://derpicdn.net/img/view/2016/3/6/1103045.png,0,0.958634257,0,29,850,1017,850,988,applejack
1104923.png,https://derpicdn.net/img/view/2016/3/8/1104923.png,0,0.981792331,1245,567,1579,901,334,334,applejack
1113498.jpg,https://derpicdn.net/img/view/2016/3/21/1113498.jpg,0,0.984884858,952,0,1444,470,492,470,applejack
1114298.png,https://derpicdn.net/img/view/2016/3/22/1114298.png,0,0.952776313,0,0,1467,1465,1467,1465,applejack
1127024.png,https://derpicdn.net/img/view/2016/4/7/1127024.png,0,0.969575346,869,0,2073,1159,1204,1159,applejack
1127324.png,https://derpicdn.net/img/view/2016/4/8/1127324.png,0,0.991463184,186,1631,1202,2647,1016,1016,applejack
1127324.png,https://derpicdn.net/img/view/2016/4/8/1127324.png,1,0.953159809,1703,78,3083,1458,1380,1380,applejack
1132655.png,https://derpicdn.net/img/view/2016/4/15/1132655.png,0,0.986673176,6,26,574,594,568,568,applejack
1135420.png,https://derpicdn.net/img/view/2016/4/19/1135420.png,0,0.93029952,128,41,648,561,520,520,applejack
1149951.jpg,https://derpicdn.net/img/view/2016/5/9/1149951.jpg,0,0.994794607,192,29,538,375,346,346,applejack
1150330.jpg,https://derpicdn.net/img/view/2016/5/9/1150330.jpg,0,0.986918271,64,0,1182,1093,1118,1093,applejack
1153050.png,https://derpicdn.net/img/view/2016/5/13/1153050.png,0,0.996636629,258,18,534,294,276,276,applejack
1153316.png,https://derpicdn.net/img/view/2016/5/13/1153316.png,0,0.972142577,30,48,486,500,456,452,applejack
1153316.png,https://derpicdn.net/img/view/2016/5/13/1153316.png,1,0.928906798,0,0,392,392,392,392,applejack
1155091.png,https://derpicdn.net/img/view/2016/5/15/1155091.png,0,0.987764716,643,114,1721,1192,1078,1078,applejack
1158809.jpg,https://derpicdn.net/img/view/2016/5/21/1158809.jpg,0,0.933286905,179,0,1100,994,921,994,applejack
1161475.png,https://derpicdn.net/img/view/2016/5/23/1161475.png,0,0.940956533,124,175,1062,1100,938,925,applejack
1164774.png,https://derpicdn.net/img/view/2016/5/28/1164774.png,0,0.992780685,508,0,1022,497,514,497,applejack
1165119.png,https://derpicdn.net/img/view/2016/5/28/1165119.png,0,0.977063715,149,0,691,508,542,508,applejack
1165854.png,https://derpicdn.net/img/view/2016/5/29/1165854.png,0,0.997899115,585,272,1377,1064,792,792,applejack
1174426.png,https://derpicdn.net/img/view/2016/6/9/1174426.png,0,0.988644838,263,137,833,707,570,570,applejack
1175488.png,https://derpicdn.net/img/view/2016/6/11/1175488.png,0,0.977756321,59,73,425,439,366,366,applejack
1181355.png,https://derpicdn.net/img/view/2016/6/18/1181355.png,0,0.999413371,1145,0,1967,744,822,744,applejack
